x,y,value
0.0,0.0,-0.0
0.1,0.0,-32.67728365384616
0.113,0.0,-9.374003896098621
0.15,0.0,110.01515810665194
0.2,0.0,107.42187500000004
0.25,0.0,292.8936411113092
0.287,0.0,-1580.844014697162
0.3,0.0,-2110.4443616977414
0.4,0.0,-66.070556640625
0.5,0.0,-25.32958984375
0.6,0.0,-17.318725585937504
0.7,0.0,32.958984374999986
0.8,0.0,-7.858276367187503
0.9,0.0,-4.0435791015625
1.0,0.0,-16.8609619140625
0.0,0.1,4.8828125
0.1,0.1,45.99217154526887
0.113,0.1,191.91321697111937
0.15,0.1,92.16460280997593
0.2,0.1,-316.40625000000017
0.25,0.1,-4208.5938264981305
0.287,0.1,-3297.122972096199
0.3,0.1,6944.004544439244
0.4,0.1,504.69135572668426
0.5,0.1,199.16955624574535
0.6,0.1,105.40991692903336
0.7,0.1,445.5737587219197
0.8,0.1,771.0755350153167
0.9,0.1,525.1958443243705
1.0,0.1,993.7178246255958
0.0,0.3,483.9513998116004
0.1,0.3,7812.286034175696
0.113,0.3,13757.171752979104
0.15,0.3,6788.588953755567
0.2,0.3,140.6402587890624
0.25,0.3,-28.82029636018948
0.287,0.3,391.7918974562837
0.3,0.3,72.33964414966594
0.4,0.3,-1843.6398749614405
0.5,0.3,-0.041673425267951814
0.6,0.3,252.21249325247808
0.7,0.3,410.32523927110776
0.8,0.3,473.1463490090782
0.9,0.3,413.99618814882535
1.0,0.3,87.94741179360419
0.0,0.4,160.430908203125
0.1,0.4,1830.7979160462046
0.113,0.4,885.8961712050091
0.15,0.4,47.6257760319588
0.2,0.4,-10.620117187499991
0.25,0.4,-3.450828000009703
0.287,0.4,9.233439043009362
0.3,0.4,-4.307798173981025
0.4,0.4,-11.230468749999991
0.5,0.4,0.12207031250000694
0.6,0.4,7.2021484375
0.7,0.4,8.331298828124991
0.8,0.4,53.436279296874964
0.9,0.4,11.169433593749998
1.0,0.4,7.50732421875001
0.0,0.5,40.100097656250014
0.1,0.5,52.446026474217156
0.113,0.5,15.298633218555096
0.15,0.5,31.9125698974837
0.2,0.5,8.300781249999996
0.25,0.5,-1.0806199518484019
0.287,0.5,5.489864864864874
0.3,0.5,-0.0
0.4,0.5,0.36621093750000017
0.5,0.5,4.760742187500002
0.6,0.5,4.272460937500002
0.7,0.5,3.41796875
0.8,0.5,11.71875
0.9,0.5,2.807617187500001
1.0,0.5,4.821777343750002
0.0,0.6,1.3427734375000013
0.1,0.6,-4.394531250000002
0.113,0.6,-10.115339949324332
0.15,0.6,9.334681529589927
0.2,0.6,15.991210937499991
0.25,0.6,-32.786857270794535
0.287,0.6,-18.956682042619548
0.3,0.6,2.653305022549347
0.4,0.6,-0.854492187499999
0.5,0.6,2.197265625000001
0.6,0.6,1.9531250000000004
0.7,0.6,2.075195312500002
0.8,0.6,0.8544921875000028
0.9,0.6,2.441406250000001
1.0,0.6,0.9155273437500003
0.0,0.7,2.13623046874999
0.1,0.7,1.342773437499983
0.113,0.7,22.450024769360677
0.15,0.7,-2.9770139212488553
0.2,0.7,-1.098632812500009
0.25,0.7,29.002677583294528
0.287,0.7,14.457084037162177
0.3,0.7,1.1310408600663733
0.4,0.7,0.12207031250000022
0.5,0.7,1.953124999999999
0.6,0.7,1.8310546874999982
0.7,0.7,2.4414062499999964
0.8,0.7,1.9531249999999944
0.9,0.7,0.4882812499999986
1.0,0.7,2.319335937499994
0.0,0.8,6.591796874999997
0.1,0.8,6.777603014380482
0.113,0.8,4.503404771959453
0.15,0.8,11.05174325052423
0.2,0.8,5.615234375000002
0.25,0.8,8.33187713575645
0.287,0.8,0.12207031249999983
0.3,0.8,-0.04375086421460331
0.4,0.8,-0.7324218750000002
0.5,0.8,-0.9765624999999987
0.6,0.8,0.6103515625000011
0.7,0.8,1.220703124999999
0.8,0.8,2.4414062499999987
0.9,0.8,1.5869140625000004
1.0,0.8,1.5869140624999982
0.0,0.9,0.4272460937500001
0.1,0.9,13.448197148623642
0.113,0.9,2.4363305613305615
0.15,0.9,-1.0587295859302188
0.2,0.9,2.4414062500000013
0.25,0.9,-0.8812649867000634
0.287,0.9,16.86778237071202
0.3,0.9,9.233218946775008
0.4,0.9,-1.3427734375000022
0.5,0.9,-0.18310546875
0.6,0.9,0.48828125000000017
0.7,0.9,-1.617431640625001
0.8,0.9,-0.6713867187499999
0.9,0.9,-0.15258789062500008
1.0,0.9,0.21362304687500006
0.0,1.0,-0.9155273437500006
0.1,1.0,-18.856342022235587
0.113,1.0,-28.84831101383838
0.15,1.0,1.3909009570251827
0.2,1.0,-0.0
0.25,1.0,0.0
0.287,1.0,-0.0
0.3,1.0,-41.6703091096196
0.4,1.0,2.1362304687499987
0.5,1.0,-2.1362304687500013
0.6,1.0,-1.5258789062500009
0.7,1.0,-0.6866455078125011
0.8,1.0,-2.8228759765625036
0.9,1.0,-1.2969970703125009
1.0,1.0,-0.0762939453125001
0.0,0.113,-22.70774286155145
0.1,0.113,364.881035200449
0.113,0.113,85.80479131841042
0.15,0.113,-44.5837518261505
0.0,0.15,-391.7753581639292
0.1,0.15,-367.8124662260961
0.113,0.15,-364.37252973758876
0.0,0.2,-153.80859375000009
0.1,0.2,-197.7539062500001
0.0,0.25,-466.7892527158088
0.1,0.25,-14796.064028551484
0.113,0.25,-19964.880354393932
0.0,0.287,1424.835141632014
0.1,0.287,-2771.395941231421
0.113,0.287,8325.631766853257
0.15,0.287,15172.334227498288
0.25,0.113,-9585.592887931996
0.287,0.113,4757.62398617919
0.3,0.113,14563.61987771382
0.4,0.113,283.6322744770009
0.5,0.113,100.38443265982329
0.6,0.113,-10.3759765625
0.7,0.113,170.88194151182435
0.8,0.113,338.9557582672818
0.9,0.113,-94.80066755457383
1.0,0.113,320.9591427364865
0.287,0.15,13497.08275037568
0.3,0.15,8762.513884122734
0.4,0.15,89.4379866126903
0.5,0.15,-29.74556587837844
0.6,0.15,-63.898632266425956
0.7,0.15,-186.78767668530614
0.8,0.15,9.758192324867908
0.9,0.15,-189.5016649192297
1.0,0.15,-25.435050402638716
0.3,0.2,90.57617187499993
0.4,0.2,53.710937499999986
0.5,0.2,28.80859375
0.6,0.2,7.324218749999998
0.7,0.2,35.15625000000002
0.8,0.2,35.400390625000014
0.9,0.2,7.812499999999978
1.0,0.2,21.97265624999998
0.287,0.25,566.325945344078
0.3,0.25,654.6484451752287
0.4,0.25,163.5763423714664
0.5,0.25,47.14538251883352
0.6,0.25,-39.07175292210317
0.7,0.25,-67.70294843604383
0.8,0.25,-94.9736610263281
0.9,0.25,-104.69544841177392
1.0,0.25,-29.57127723089471
0.25,0.287,74.31453935764648
0.287,0.287,346.9119619879745
0.3,0.287,278.5403638167392
0.4,0.287,-695.0282614345109
0.5,0.287,204.44873960498947
0.6,0.287,407.41537811850253
0.7,0.287,941.3697050415786
0.8,0.287,71.05558082120403
0.9,0.287,575.0471023908515
1.0,0.287,120.18621686590416
