x,y,value
0.0,1.0,-15895057508366.482
0.8,0.15,-15895057508366.371
0.113,0.113,-15895057508366.234
0.25,0.8,-15895057508366.484
0.8,0.4,-15895057508366.424
0.8,0.9,-15895057508366.465
0.6,0.1,-15895057508366.38
0.2,0.4,-15895057508366.465
0.2,0.9,-15895057508366.48
0.9,0.113,-15895057508366.348
0.1,0.7,-15895057508366.46
0.7,0.3,-15895057508366.424
0.1,0.2,-15895057508366.254
0.3,0.113,-15895057508366.406
0.7,0.8,-15895057508366.463
0.287,0.287,-15895057508366.48
1.0,0.7,-15895057508366.443
0.287,0.113,-15895057508366.363
0.25,1.0,-15895057508366.482
1.0,0.2,-15895057508366.373
0.15,0.0,-15895057508366.25
1.0,1.0,-15895057508366.457
0.15,0.5,-15895057508366.445
0.1,0.113,-15895057508366.23
0.7,1.0,-15895057508366.473
