x,y,value
0.0,0.0,0.01953125
0.1,0.0,-0.25
0.113,0.0,-0.171875
0.15,0.0,-0.515625
0.2,0.0,-0.5
0.25,0.0,-0.71875
0.287,0.0,-0.875
0.3,0.0,-0.60546875
0.4,0.0,-0.203125
0.5,0.0,0.03125
0.6,0.0,0.171875
0.7,0.0,0.125
0.8,0.0,0.03125
0.9,0.0,0.046875
1.0,0.0,0.058593750000000014
0.0,0.1,0.0390625
0.1,0.1,-0.375
0.113,0.1,-0.234375
0.15,0.1,-0.296875
0.2,0.1,-0.28125
0.25,0.1,-0.90625
0.287,0.1,-3.125
0.3,0.1,-3.00390625
0.4,0.1,-0.109375
0.5,0.1,0.109375
0.6,0.1,0.234375
0.7,0.1,0.140625
0.8,0.1,-0.015625
0.9,0.1,0.03125
1.0,0.1,0.03906250000000001
0.0,0.3,-0.29296875
0.1,0.3,-3.375
0.113,0.3,-2.953125
0.15,0.3,-0.96875
0.2,0.3,-0.125
0.25,0.3,-0.125
0.287,0.3,0.0
0.3,0.3,0.18359375
0.4,0.3,0.203125
0.5,0.3,0.15625
0.6,0.3,0.109375
0.7,0.3,0.125
0.8,0.3,0.109375
0.9,0.3,0.046875
1.0,0.3,0.11718750000000003
0.0,0.4,-0.1953125
0.1,0.4,-0.75
0.113,0.4,-0.4375
0.15,0.4,-0.34375
0.2,0.4,-0.25
0.25,0.4,-0.0625
0.287,0.4,-0.25
0.3,0.4,-0.0859375
0.4,0.4,0.09375
0.5,0.4,0.15625
0.6,0.4,0.109375
0.7,0.4,0.109375
0.8,0.4,0.09375
0.9,0.4,0.046875
1.0,0.4,0.058593750000000014
0.0,0.5,-0.05859375
0.1,0.5,-0.125
0.113,0.5,-0.046875
0.15,0.5,-0.234375
0.2,0.5,-0.21875
0.25,0.5,-0.03125
0.287,0.5,0.125
0.3,0.5,0.4140625
0.4,0.5,0.015625
0.5,0.5,0.09375
0.6,0.5,0.078125
0.7,0.5,0.0625
0.8,0.5,0.09375
0.9,0.5,0.0625
1.0,0.5,0.019531250000000003
0.0,0.6,0.01953125
0.1,0.6,0.0
0.113,0.6,0.09375
0.15,0.6,-0.140625
0.2,0.6,-0.1875
0.25,0.6,-0.28125
0.287,0.6,-0.125
0.3,0.6,0.0390625
0.4,0.6,0.046875
0.5,0.6,0.078125
0.6,0.6,0.0625
0.7,0.6,0.046875
0.8,0.6,0.078125
0.9,0.6,0.09375
1.0,0.6,0.09765625000000003
0.0,0.7,-0.01953125
0.1,0.7,0.0
0.113,0.7,0.125
0.15,0.7,-0.015625
0.2,0.7,-0.0625
0.25,0.7,-0.28125
0.287,0.7,-0.25
0.3,0.7,-0.0859375
0.4,0.7,0.046875
0.5,0.7,0.046875
0.6,0.7,0.046875
0.7,0.7,0.078125
0.8,0.7,0.109375
0.9,0.7,0.03125
1.0,0.7,0.019531250000000003
0.0,0.8,0.0
0.1,0.8,-0.375
0.113,0.8,-0.15625
0.15,0.8,0.046875
0.2,0.8,-0.0625
0.25,0.8,-0.03125
0.287,0.8,0.0
0.3,0.8,0.16015625
0.4,0.8,0.03125
0.5,0.8,0.03125
0.6,0.8,0.0625
0.7,0.8,0.03125
0.8,0.8,0.03125
0.9,0.8,0.046875
1.0,0.8,0.03906250000000001
0.0,0.9,0.01953125
0.1,0.9,-0.125
0.113,0.9,-0.03125
0.15,0.9,-0.046875
0.2,0.9,-0.03125
0.25,0.9,-0.03125
0.287,0.9,-0.25
0.3,0.9,-0.08984375
0.4,0.9,0.09375
0.5,0.9,0.046875
0.6,0.9,0.015625
0.7,0.9,-0.015625
0.8,0.9,0.046875
0.9,0.9,0.0625
1.0,0.9,0.03906250000000001
0.0,1.0,0.0
0.1,1.0,0.125
0.113,1.0,0.21875
0.15,1.0,-0.03125
0.2,1.0,0.0
0.25,1.0,-0.03125
0.287,1.0,0.0
0.3,1.0,0.15625
0.4,1.0,0.0625
0.5,1.0,0.0625
0.6,1.0,0.0
0.7,1.0,0.0
0.8,1.0,0.0625
0.9,1.0,0.0625
1.0,1.0,0.03906250000000001
0.0,0.113,0.01953125
0.1,0.113,-0.375
0.113,0.113,-0.234375
0.15,0.113,-0.2111486486486487
0.0,0.15,0.1171875
0.1,0.15,0.125
0.113,0.15,0.15024038461538464
0.0,0.2,0.13671875
0.1,0.2,0.13671875
0.0,0.25,0.25390625
0.1,0.25,-1.125
0.113,0.25,-1.201923076923077
0.0,0.287,0.09765625
0.1,0.287,-3.5
0.113,0.287,-3.4375
0.15,0.287,-2.2698479729729737
0.25,0.113,-2.0586993243243255
0.287,0.113,-3.0
0.3,0.113,-2.88671875
0.4,0.113,0.046875
0.5,0.113,0.140625
0.6,0.113,0.265625
0.7,0.113,0.109375
0.8,0.113,-0.015625
0.9,0.113,0.046875
1.0,0.113,0.0
0.287,0.15,-1.0516826923076914
0.3,0.15,-0.90625
0.4,0.15,0.1875
0.5,0.15,0.1875
0.6,0.15,0.234375
0.7,0.15,0.0625
0.8,0.15,0.0
0.9,0.15,0.0625
1.0,0.15,-0.019531250000000003
0.3,0.2,0.13671874999999994
0.4,0.2,0.171875
0.5,0.2,0.203125
0.6,0.2,0.171875
0.7,0.2,0.09375
0.8,0.2,0.078125
0.9,0.2,0.046875
1.0,0.2,0.0
0.287,0.25,0.6009615384615379
0.3,0.25,0.68359375
0.4,0.25,0.15625
0.5,0.25,0.234375
0.6,0.25,0.171875
0.7,0.25,0.109375
0.8,0.25,0.09375
0.9,0.25,0.046875
1.0,0.25,0.07812500000000001
0.25,0.287,0.0
0.287,0.287,0.0
0.3,0.287,0.05078125
0.4,0.287,0.1875
0.5,0.287,0.21875
0.6,0.287,0.125
0.7,0.287,0.15625
0.8,0.287,0.109375
0.9,0.287,0.015625
1.0,0.287,0.09765625000000003
